
python3 als_docker_logs.py Exp_data

run_no_1\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.194346  0.0047054495
Cpu1_usage                                                         0.194486  0.0046751866
Cpu2_usage                                                         0.194601  0.0046503010
Cpu3_usage                                                         0.194341  0.0047066531
CpuALL_usage                                                       0.194444  0.0046842774
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.734242  0.0000000000
Number of logs from container mongodb-attractio...                 0.019689  0.7766845370
Number of logs from container mongodb-geo-1                        0.019689  0.7766845370
Number of logs from container mongodb-profile-1                   -0.298515  0.0000107840
Number of logs from container mongodb-rate-1                      -0.345587  0.0000002787
Number of logs from container mongodb-recommend...                 0.014074  0.8393381935
Number of logs from container mongodb-reservati...                 0.843845  0.0000000000
Number of logs from container mongodb-review-1                     0.019689  0.7766845370
Number of logs from container mongodb-user-1                       0.021028  0.7619352775
Reads_on_sda                                                      -0.053193  0.4432143496
Writes_on_sda                                                      0.119286  0.0846255165
memory_usage                                                      -0.026013  0.7078259921

run_no_10\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.207042  0.0025684506
Cpu1_usage                                                         0.206574  0.0026280889
Cpu2_usage                                                         0.206920  0.0025839118
Cpu3_usage                                                         0.206685  0.0026138156
CpuALL_usage                                                       0.206810  0.0025978284
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.581257  0.0000000000
Number of logs from container mongodb-attractio...                -0.000216  0.9975231274
Number of logs from container mongodb-geo-1                       -0.000216  0.9975231274
Number of logs from container mongodb-profile-1                   -0.175333  0.0109153619
Number of logs from container mongodb-rate-1                      -0.184567  0.0073239907
Number of logs from container mongodb-recommend...                 0.027761  0.6891777153
Number of logs from container mongodb-reservati...                 0.696620  0.0000000000
Number of logs from container mongodb-review-1                     0.001076  0.9876284447
Number of logs from container mongodb-user-1                      -0.000216  0.9975231274
Reads_on_sda                                                       0.405417  0.0000000010
Writes_on_sda                                                      0.133197  0.0539442205
memory_usage                                                      -0.095161  0.1694707140

run_no_11\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.269093  0.0000753131
Cpu1_usage                                                         0.268411  0.0000786667
Cpu2_usage                                                         0.268878  0.0000763525
Cpu3_usage                                                         0.269161  0.0000749821
CpuALL_usage                                                       0.268887  0.0000763073
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.520045  0.0000000000
Number of logs from container mongodb-attractio...                -0.015813  0.8193817401
Number of logs from container mongodb-geo-1                       -0.015813  0.8193817401
Number of logs from container mongodb-profile-1                   -0.342210  0.0000003468
Number of logs from container mongodb-rate-1                      -0.383141  0.0000000087
Number of logs from container mongodb-recommend...                 0.015260  0.8255864462
Number of logs from container mongodb-reservati...                 0.649859  0.0000000000
Number of logs from container mongodb-review-1                     0.040278  0.5606786788
Number of logs from container mongodb-user-1                      -0.015813  0.8193817401
Reads_on_sda                                                       0.511941  0.0000000000
Writes_on_sda                                                      0.171123  0.0127986186
memory_usage                                                      -0.157008  0.0225315640

run_no_12\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.190851  0.0055246690
Cpu1_usage                                                         0.190795  0.0055386711
Cpu2_usage                                                         0.190308  0.0056626924
Cpu3_usage                                                         0.191243  0.0054266943
CpuALL_usage                                                       0.190809  0.0055353286
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.523900  0.0000000000
Number of logs from container mongodb-attractio...                 0.012793  0.8537833466
Number of logs from container mongodb-geo-1                        0.012793  0.8537833466
Number of logs from container mongodb-profile-1                   -0.263171  0.0001137625
Number of logs from container mongodb-rate-1                      -0.251961  0.0002249892
Number of logs from container mongodb-recommend...                 0.012793  0.8537833466
Number of logs from container mongodb-reservati...                 0.636588  0.0000000000
Number of logs from container mongodb-review-1                     0.012793  0.8537833466
Number of logs from container mongodb-user-1                       0.012793  0.8537833466
Reads_on_sda                                                      -0.022991  0.7404758204
Writes_on_sda                                                      0.122286  0.0770354718
memory_usage                                                      -0.283423  0.0000306642

run_no_13\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.207404  0.0025231715
Cpu1_usage                                                         0.207967  0.0024542536
Cpu2_usage                                                         0.207900  0.0024624021
Cpu3_usage                                                         0.207932  0.0024584457
CpuALL_usage                                                       0.207810  0.0024733044
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.566640  0.0000000000
Number of logs from container mongodb-attractio...                 0.004454  0.9488445447
Number of logs from container mongodb-geo-1                        0.004454  0.9488445447
Number of logs from container mongodb-profile-1                   -0.302551  0.0000080723
Number of logs from container mongodb-rate-1                      -0.257060  0.0001656140
Number of logs from container mongodb-recommend...                 0.004454  0.9488445447
Number of logs from container mongodb-reservati...                 0.670968  0.0000000000
Number of logs from container mongodb-review-1                     0.010709  0.8774005189
Number of logs from container mongodb-user-1                       0.004454  0.9488445447
Reads_on_sda                                                       0.452878  0.0000000000
Writes_on_sda                                                      0.146729  0.0335755546
memory_usage                                                      -0.121347  0.0793485846

run_no_14\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.189054  0.0059936689
Cpu1_usage                                                         0.188856  0.0060474840
Cpu2_usage                                                         0.188910  0.0060327924
Cpu3_usage                                                         0.189193  0.0059562720
CpuALL_usage                                                       0.189036  0.0059986052
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.521697  0.0000000000
Number of logs from container mongodb-attractio...                 0.022461  0.7462452150
Number of logs from container mongodb-geo-1                        0.022688  0.7437715131
Number of logs from container mongodb-profile-1                   -0.179428  0.0091654711
Number of logs from container mongodb-rate-1                      -0.171268  0.0129374229
Number of logs from container mongodb-recommend...                 0.012149  0.8610709776
Number of logs from container mongodb-reservati...                 0.605147  0.0000000000
Number of logs from container mongodb-review-1                     0.022461  0.7462452150
Number of logs from container mongodb-user-1                       0.022688  0.7437715131
Reads_on_sda                                                       0.187721  0.0063643358
Writes_on_sda                                                      0.110575  0.1101042122
memory_usage                                                      -0.105286  0.1282941355

run_no_15\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.223885  0.0010586026
Cpu1_usage                                                         0.223424  0.0010848653
Cpu2_usage                                                         0.223626  0.0010732948
Cpu3_usage                                                         0.223098  0.0011037538
CpuALL_usage                                                       0.223503  0.0010802930
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.453747  0.0000000000
Number of logs from container mongodb-attractio...                 0.026492  0.7020145528
Number of logs from container mongodb-geo-1                        0.017761  0.7975777693
Number of logs from container mongodb-profile-1                   -0.156028  0.0233975221
Number of logs from container mongodb-rate-1                      -0.159076  0.0207926935
Number of logs from container mongodb-recommend...                 0.016356  0.8132854782
